Row ID,Province
1,Nunavut
49,Nunavut
50,Nunavut
80,Nunavut
85,Nunavut
86,Nunavut
97,Nunavut
98,Nunavut
103,Nunavut
107,Nunavut
127,Nunavut
128,Nunavut
134,Nunavut
135,Nunavut
149,Nunavut
160,Nunavut
161,Nunavut
175,Nunavut
176,Nunavut
203,Nunavut
204,Nunavut
213,Nunavut
214,Nunavut
229,Nunavut
230,Nunavut
231,Nunavut
249,Nunavut
250,Nunavut
256,Nunavut
330,Nunavut
331,Nunavut
332,Nunavut
362,Nunavut
363,Nunavut
381,Nunavut
406,Nunavut
413,Nunavut
414,Nunavut
415,Nunavut
440,Nunavut
471,Nunavut
513,Nunavut
577,Nunavut
606,Nunavut
656,Nunavut
669,Nunavut
670,Nunavut
671,Nunavut
672,Nunavut
734,Nunavut
735,Nunavut
755,Nunavut
769,Nunavut
782,Nunavut
786,Nunavut
817,Nunavut
818,Nunavut
821,Nunavut
822,Nunavut
839,Nunavut
853,Nunavut
863,Nunavut
864,Nunavut
911,Nunavut
950,Nunavut
951,Nunavut
956,Nunavut
963,Nunavut
964,Nunavut
965,Nunavut
966,Nunavut
988,Nunavut
1017,Nunavut
1073,Nunavut
1154,Nunavut
1156,Nunavut
1157,Nunavut
1205,Nunavut
1226,Nunavut
1227,Northwest Territories
1228,Northwest Territories
1229,Northwest Territories
1230,Northwest Territories
1258,Northwest Territories
1259,Northwest Territories
1299,Northwest Territories
1300,Northwest Territories
1301,Northwest Territories
1337,Northwest Territories
1370,Northwest Territories
1371,Northwest Territories
1372,Northwest Territories
1380,Northwest Territories
1445,Northwest Territories
1457,Northwest Territories
1462,Northwest Territories
1463,Northwest Territories
1495,Northwest Territories
1496,Northwest Territories
1513,Northwest Territories
1544,Northwest Territories
1551,Northwest Territories
1589,Northwest Territories
1590,Northwest Territories
1594,Northwest Territories
1654,Northwest Territories
1655,Northwest Territories
1656,Northwest Territories
1675,Northwest Territories
1676,Northwest Territories
1710,Northwest Territories
1718,Northwest Territories
1727,Northwest Territories
1745,Northwest Territories
1751,Northwest Territories
1770,Northwest Territories
1771,Northwest Territories
1781,Northwest Territories
1782,Northwest Territories
1806,Northwest Territories
1807,Northwest Territories
1842,Northwest Territories
1843,Northwest Territories
1848,Northwest Territories
1855,Northwest Territories
1913,Northwest Territories
1928,Northwest Territories
1929,Northwest Territories
1930,Northwest Territories
1978,Northwest Territories
1979,Northwest Territories
2013,Northwest Territories
2058,Northwest Territories
2070,Northwest Territories
2071,Northwest Territories
2114,Northwest Territories
2115,Northwest Territories
2116,Northwest Territories
2117,Northwest Territories
2129,Northwest Territories
2130,Northwest Territories
2161,Northwest Territories
2206,Northwest Territories
2207,Northwest Territories
2208,Northwest Territories
2209,Northwest Territories
2210,Northwest Territories
2221,Northwest Territories
2246,Northwest Territories
2247,Northwest Territories
2281,Northwest Territories
2283,Northwest Territories
2294,Northwest Territories
2295,Northwest Territories
2296,Northwest Territories
